STT,Tỉnh/Thành phố,Dự kiến KH phân bổ,Phân bổ thực tế,Dân số >= 18 tuổi,Số liều đã tiêm,Tỷ lệ dự kiến phân bổ theo kế hoạch/ dân số (>= 18 tuổi),Tỷ lệ đã phân bổ/ dân số (>= 18 tuổi),Tỷ lệ đã tiêm ít nhất 1 mũi/ dân số (>= 18 tuổi),Tỷ lệ tiêm chủng/ Vắc xin phân bổ thực tế,Tỷ lệ phân bổ vắc xin/Tổng số phân bổ cả nước
1,Hà Nội,"11,376,541","12,294,742","6,200,000","12,407,138",91.75 %,99.15 %,200.12 %,100.91 %,9.05 %
2,Hồ Chí Minh,"13,794,299","14,637,020","7,208,800","14,838,256",95.68 %,101.52 %,205.84 %,101.37 %,10.78 %
3,Thanh Hóa,"4,794,541","3,877,590","2,605,729","2,977,516",92 %,74.41 %,114.27 %,76.79 %,2.85 %
4,Nghệ An,"4,267,816","3,900,900","1,960,668","3,449,621",108.84 %,99.48 %,175.94 %,88.43 %,2.87 %
5,Đồng Nai,"4,256,053","5,025,430","2,384,309","5,099,117",89.25 %,105.39 %,213.86 %,101.47 %,3.7 %
6,Bình Dương,"3,550,283","4,772,470","2,381,252","4,221,309",74.55 %,100.21 %,177.27 %,88.45 %,3.51 %
7,An Giang,"2,606,158","3,112,132","1,457,127","2,750,613",89.43 %,106.79 %,188.77 %,88.38 %,2.29 %
8,Hải Dương,"2,598,385","2,025,640","1,367,571","2,146,465",95 %,74.06 %,156.95 %,105.96 %,1.49 %
9,Đắk Lắk,"2,317,760","2,100,110","1,362,176","2,052,894",85.08 %,77.09 %,150.71 %,97.75 %,1.55 %
10,Thái Bình,"2,526,449","1,893,980","1,373,070","1,765,904",92 %,68.97 %,128.61 %,93.24 %,1.39 %
11,Hải Phòng,"2,857,279","2,767,400","1,580,000","3,288,454",90.42 %,87.58 %,208.13 %,118.83 %,2.04 %
12,Bắc Giang,"2,408,322","2,203,610","1,267,538","2,218,934",95 %,86.92 %,175.06 %,100.7 %,1.62 %
13,Nam Định,"2,341,610","1,772,560","1,272,614","1,707,728",92 %,69.64 %,134.19 %,96.34 %,1.3 %
14,Tiền Giang,"2,512,418","2,974,320","1,488,385","2,639,895",84.4 %,99.92 %,177.37 %,88.76 %,2.19 %
15,Kiên Giang,"2,371,842","3,001,880","1,248,338","2,178,626",95 %,120.24 %,174.52 %,72.58 %,2.21 %
16,Long An,"2,397,297","2,998,000","1,361,733","3,052,702",88.02 %,110.08 %,224.18 %,101.82 %,2.21 %
17,Đồng Tháp,"2,244,402","2,705,690","1,181,264","2,103,232",95 %,114.53 %,178.05 %,77.73 %,1.99 %
18,Gia Lai,"1,760,170","1,795,832","956,614","1,451,986",92 %,93.86 %,151.78 %,80.85 %,1.32 %
19,Quảng Nam,"1,966,932","2,149,770","1,250,469","1,729,563",78.65 %,85.96 %,138.31 %,80.45 %,1.58 %
20,Bình Định,"1,966,752","1,902,530","1,110,818","1,677,493",88.53 %,85.64 %,151.01 %,88.17 %,1.4 %
21,Phú Thọ,"1,894,260","1,729,400","1,029,489","1,718,069",92 %,83.99 %,166.89 %,99.34 %,1.27 %
22,Bắc Ninh,"1,871,988","1,865,510","985,257","2,055,713",95 %,94.67 %,208.65 %,110.2 %,1.37 %
23,Quảng Ninh,"1,778,123","2,121,498","1,013,446","2,118,393",87.73 %,104.67 %,209.03 %,99.85 %,1.56 %
24,Lâm Đồng,"1,642,299","1,952,774","901,167","1,991,690",91.12 %,108.35 %,221.01 %,101.99 %,1.44 %
25,Hà Tĩnh,"1,642,572","1,220,150","892,702","1,290,686",92 %,68.34 %,144.58 %,105.78 %,0.9 %
26,Bến Tre,"1,863,239","1,882,520","980,652","1,886,918",95 %,95.98 %,192.41 %,100.23 %,1.39 %
27,Thái Nguyên,"1,693,856","1,271,330","938,660","1,294,705",90.23 %,67.72 %,137.93 %,101.84 %,0.94 %
28,Hưng Yên,"1,705,117","1,686,572","992,340","1,611,160",85.91 %,84.98 %,162.36 %,95.53 %,1.24 %
29,Sơn La,"1,458,572","1,193,980","792,702","1,012,000",92 %,75.31 %,127.66 %,84.76 %,0.88 %
30,Cần Thơ,"1,789,361","2,132,068","941,769","1,861,265",95 %,113.19 %,197.63 %,87.3 %,1.57 %
31,Quảng Ngãi,"1,678,654","1,562,604","883,502","1,459,487",95 %,88.43 %,165.19 %,93.4 %,1.15 %
32,Khánh Hòa,"1,695,222","1,886,770","901,731","1,957,653",94 %,104.62 %,217.1 %,103.76 %,1.39 %
33,Bình Thuận,"1,592,509","1,701,850","865,494","1,571,740",92 %,98.32 %,181.6 %,92.35 %,1.25 %
34,Sóc Trăng,"1,636,586","2,114,660","861,361","1,677,528",95 %,122.75 %,194.75 %,79.33 %,1.56 %
35,Cà Mau,"1,629,385","1,677,630","857,571","1,729,262",95 %,97.81 %,201.65 %,103.08 %,1.24 %
36,Tây Ninh,"1,658,187","2,055,900","977,624","1,784,562",84.81 %,105.15 %,182.54 %,86.8 %,1.51 %
37,Vĩnh Phúc,"1,453,409","1,462,250","789,896","1,409,771",92 %,92.56 %,178.48 %,96.41 %,1.08 %
38,Bà Rịa - Vũng Tàu,"1,563,924","2,034,410","891,244","1,921,450",87.74 %,114.13 %,215.59 %,94.45 %,1.5 %
39,Đà Nẵng,"1,571,173","1,720,782","885,070","1,821,576",88.76 %,97.21 %,205.81 %,105.86 %,1.27 %
40,Thừa Thiên Huế,"1,481,288","1,616,626","805,048","1,413,612",92 %,100.41 %,175.59 %,87.44 %,1.19 %
41,Vĩnh Long,"1,461,149","1,733,130","769,026","1,624,348",95 %,112.68 %,211.22 %,93.72 %,1.28 %
42,Trà Vinh,"1,396,109","1,353,410","734,794","1,329,914",95 %,92.09 %,180.99 %,98.26 %,1 %
43,Bình Phước,"1,285,789","1,528,060","758,594","1,465,223",84.75 %,100.72 %,193.15 %,95.89 %,1.12 %
44,Ninh Bình,"1,279,525","1,239,970","695,394","1,088,618",92 %,89.16 %,156.55 %,87.79 %,0.91 %
45,Phú Yên,"1,171,033","1,108,954","616,333","1,128,886",95 %,89.96 %,183.16 %,101.8 %,0.82 %
46,Bạc Liêu,"1,275,056","1,269,690","675,288","1,143,495",94.41 %,94.01 %,169.33 %,90.06 %,0.93 %
47,Quảng Bình,"1,135,015","978,810","611,974","960,972",92.73 %,79.97 %,157.03 %,98.18 %,0.72 %
48,Hà Giang,"1,145,979","1,128,820","592,774","871,634",96.66 %,95.22 %,147.04 %,77.22 %,0.83 %
49,Hoà Bình,"1,100,234","1,046,120","680,000","972,291",80.9 %,76.92 %,142.98 %,92.94 %,0.77 %
50,Hà Nam,"1,126,483","1,213,520","612,219","1,187,936",92 %,99.11 %,194.04 %,97.89 %,0.89 %
51,Yên Bái,"1,039,328","1,034,300","510,271","963,205",101.84 %,101.35 %,188.76 %,93.13 %,0.76 %
52,Tuyên Quang,"985,752","930,610","535,735","746,708",92 %,86.85 %,139.38 %,80.24 %,0.69 %
53,Lạng Sơn,"1,017,262","1,117,220","558,242","1,038,401",91.11 %,100.07 %,186.01 %,92.95 %,0.82 %
54,Hậu Giang,"1,018,710","1,190,250","536,163","1,149,031",95 %,111 %,214.31 %,96.54 %,0.88 %
55,Lào Cai,"856,325","933,550","518,028","916,317",82.65 %,90.11 %,176.89 %,98.15 %,0.69 %
56,Quảng Trị,"786,243","848,182","463,442","772,497",84.83 %,91.51 %,166.69 %,91.08 %,0.62 %
57,Đắk Nông,"723,091","819,420","404,872","828,820",89.3 %,101.19 %,204.71 %,101.15 %,0.6 %
58,Điện Biên,"663,416","629,460","336,229","642,731",98.66 %,93.61 %,191.16 %,102.11 %,0.46 %
59,Ninh Thuận,"739,091","892,660","428,346","843,044",86.27 %,104.2 %,196.81 %,94.44 %,0.66 %
60,Kon Tum,"611,388","621,200","372,446","593,102",82.08 %,83.39 %,159.25 %,95.48 %,0.46 %
61,Cao Bằng,"678,910","550,460","368,973","558,671",92 %,74.59 %,151.41 %,101.49 %,0.41 %
62,Lai Châu,"496,261","517,840","282,600","526,472",87.8 %,91.62 %,186.3 %,101.67 %,0.38 %
63,Bắc Kạn,"409,198","343,170","222,390","327,776",92 %,77.15 %,147.39 %,95.51 %,0.25 %
