stt,thanhpho,du_kien_phan_bo,phan_bo_thuc_te,dan_so_du_dieu_kien_tiem,so_lieu_da_tiem,ty_le_du_kien_phan_bo_so_voi_dan_so,ty_le_da_phan_bo_thuc_te_so_voi_dan_so,ty_le_dan_so_it_nhat_tiem_mot_mui,ty_le_tiem_chung_tren_so_vacxin_phan_bo_thuc_te,ty_le_phan_bo_vacxin_so_voi_ca_nuoc
1,Ha Noi,11376541,12294742,6200000,12430093,91.75,99.15,200.49,101.1,9.05
2,Ho Chi Minh,13794299,14637020,7208800,14850741,95.68,101.52,206.01,101.46,10.78
3,Thanh Hoa,4794541,3877590,2605729,3061432,92,74.41,117.49,78.95,2.85
4,Nghe An,4267816,3900900,1960668,3449621,108.84,99.48,175.94,88.43,2.87
5,Dong Nai,4256053,5025430,2384309,5102158,89.25,105.39,213.99,101.53,3.7
6,Binh Duong,3550283,4772470,2381252,4354218,74.55,100.21,182.85,91.24,3.51
7,An Giang,2606158,3112132,1457127,2759310,89.43,106.79,189.37,88.66,2.29
8,Hai Duong,2598385,2025640,1367571,2146465,95,74.06,156.95,105.96,1.49
9,Dak Lak,2317760,2100110,1362176,2056328,85.08,77.09,150.96,97.92,1.55
10,Thai Binh,2526449,1893980,1373070,1770729,92,68.97,128.96,93.49,1.39
11,Hai Phong,2857279,2767400,1580000,3355753,90.42,87.58,212.39,121.26,2.04
12,Bac Giang,2408322,2203610,1267538,2218934,95,86.92,175.06,100.7,1.62
13,Nam Dinh,2341610,1772560,1272614,1725736,92,69.64,135.61,97.36,1.3
14,Tien Giang,2512418,2974320,1488385,2643482,84.4,99.92,177.61,88.88,2.19
15,Kien Giang,2371842,3001880,1248338,2178626,95,120.24,174.52,72.58,2.21
16,Long An,2397297,2998000,1361733,3060574,88.02,110.08,224.76,102.09,2.21
17,Dong Thap,2244402,2705690,1181264,2210103,95,114.53,187.1,81.68,1.99
18,Gia Lai,1760170,1795832,956614,1451986,92,93.86,151.78,80.85,1.32
19,Quang Nam,1966932,2149770,1250469,1745597,78.65,85.96,139.6,81.2,1.58
20,Binh Dinh,1966752,1902530,1110818,1708856,88.53,85.64,153.84,89.82,1.4
21,Phu Tho,1894260,1729400,1029489,1726198,92,83.99,167.68,99.81,1.27
22,Bac Ninh,1871988,1865510,985257,2067795,95,94.67,209.87,110.84,1.37
23,Quang Ninh,1778123,2121498,1013446,2118393,87.73,104.67,209.03,99.85,1.56
24,Lam Dong,1642299,1952774,901167,1993936,91.12,108.35,221.26,102.11,1.44
25,Ha Tinh,1642572,1220150,892702,1300610,92,68.34,145.69,106.59,0.9
26,Ben Tre,1863239,1882520,980652,1918355,95,95.98,195.62,101.9,1.39
27,Thai Nguyen,1693856,1271330,938660,1318366,90.23,67.72,140.45,103.7,0.94
28,Hung Yen,1705117,1686572,992340,1611160,85.91,84.98,162.36,95.53,1.24
29,Son La,1458572,1193980,792702,1025620,92,75.31,129.38,85.9,0.88
30,Can Tho,1789361,2132068,941769,1862730,95,113.19,197.79,87.37,1.57
31,Quang Ngai,1678654,1562604,883502,1474469,95,88.43,166.89,94.36,1.15
32,Khanh Hoa,1695222,1886770,901731,1966162,94,104.62,218.04,104.21,1.39
33,Binh Thuan,1592509,1701850,865494,1585884,92,98.32,183.23,93.19,1.25
34,Soc Trang,1636586,2114660,861361,1677528,95,122.75,194.75,79.33,1.56
35,Ca Mau,1629385,1677630,857571,1729262,95,97.81,201.65,103.08,1.24
36,Tay Ninh,1658187,2055900,977624,1792957,84.81,105.15,183.4,87.21,1.51
37,Vinh Phuc,1453409,1462250,789896,1409771,92,92.56,178.48,96.41,1.08
38,Ba Ria - Vung Tau,1563924,2034410,891244,1925513,87.74,114.13,216.05,94.65,1.5
39,Da Nang,1571173,1720782,885070,1825573,88.76,97.21,206.26,106.09,1.27
40,Thua Thien Hue,1481288,1616626,805048,1433632,92,100.41,178.08,88.68,1.19
41,Vinh Long,1461149,1733130,769026,1646772,95,112.68,214.14,95.02,1.28
42,Tra Vinh,1396109,1353410,734794,1329914,95,92.09,180.99,98.26,1
43,Binh Phuoc,1285789,1528060,758594,1489236,84.75,100.72,196.32,97.46,1.12
44,Ninh Binh,1279525,1239970,695394,1092967,92,89.16,157.17,88.14,0.91
45,Phu Yen,1171033,1108954,616333,1128886,95,89.96,183.16,101.8,0.82
46,Bac Lieu,1275056,1269690,675288,1143495,94.41,94.01,169.33,90.06,0.93
47,Quang Binh,1135015,978810,611974,970671,92.73,79.97,158.61,99.17,0.72
48,Ha Giang,1145979,1128820,592774,876508,96.66,95.22,147.87,77.65,0.83
49,Hoa Binh,1100234,1046120,680000,1044231,80.9,76.92,153.56,99.82,0.77
50,Ha Nam,1126483,1213520,612219,1187936,92,99.11,194.04,97.89,0.89
51,Yen Bai,1039328,1034300,510271,1037812,101.84,101.35,203.38,100.34,0.76
52,Tuyen Quang,985752,930610,535735,765880,92,86.85,142.96,82.3,0.69
53,Lang Son,1017262,1117220,558242,1038401,91.11,100.07,186.01,92.95,0.82
54,Hau Giang,1018710,1190250,536163,1150650,95,111,214.61,96.67,0.88
55,Lao Cai,856325,933550,518028,923993,82.65,90.11,178.37,98.98,0.69
56,Quang Tri,786243,848182,463442,779758,84.83,91.51,168.25,91.93,0.62
57,Dak Nong,723091,819420,404872,832501,89.3,101.19,205.62,101.6,0.6
58,Dien Bien,663416,629460,336229,642731,98.66,93.61,191.16,102.11,0.46
59,Ninh Thuan,739091,892660,428346,846030,86.27,104.2,197.51,94.78,0.66
60,Kon Tum,611388,621200,372446,596191,82.08,83.39,160.07,95.97,0.46
61,Cao Bang,678910,550460,368973,565426,92,74.59,153.24,102.72,0.41
62,Lai Chau,496261,517840,282600,527334,87.8,91.62,186.6,101.83,0.38
63,Bac Kan,409198,343170,222390,332241,92,77.15,149.4,96.82,0.25
